,files,keys,en,vi,ms,th,ru,zh-Hans,ar,id
0,SKOR/Presentation Layer/Settings/NewSetting/SettingTableCell/SettingCommonTableViewCell.strings,"""xYc-Yp-9di.text""","""Change Password"";","""Đổi Mật khẩu"";","""Change Password"";","""เปลี่ยนรหัสผ่าน"";","""Измени пароль"";","""更改密码"";","""Change Password"";","""Tukar Kata Laluan"";"
0,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""MWM-uB-e4J.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
1,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""vrh-D5-xz1.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
2,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""Fmw-ab-49v.normalTitle""","""Learn More"";","""Tìm hiểu thêm"";","""Learn More"";","""ดูเพิ่มเติม"";","""Подробнее"";","""了解更多信息"";",,"""Lihat Lagi"";"
3,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""sn4-Lx-4tP.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
0,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsListView/TrendReceiptViewController.strings,"""JV7-jL-NKf.text""","""Add Claim"";",,,,"""Требовать"";",,,
1,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsListView/TrendReceiptViewController.strings,"""Bkj-t9-Lb7.placeholder""","""   Search"";",,,,"""   Поиск"";",,,
2,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsListView/TrendReceiptViewController.strings,"""0fF-G0-qd6.text""","""UPLOAD CLAIM"";",,,,"""ЗАГРУЗИТЬ ЗАЯВКУ"";",,,
3,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsListView/TrendReceiptViewController.strings,"""rQI-P9-3OD.normalTitle""","""Cancel"";",,,,"""Отмена"";",,,
0,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""cxh-dT-xYg.text""",""" GOLD"";",""" GOLD"";",""" GOLD"";",""" GOLD"";","""ЗОЛОТОЙ"";",""" GOLD"";",,""" GOLD"";"
1,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""1L4-f5-Id1.text""","""     100,000"";","""     100,000"";","""     100,000"";","""     100,000"";","""     100 000"";","""     100,000"";",,"""     100,000"";"
2,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""SBc-xl-J41.text""",""" ELITE"";",""" ELITE"";",""" ELITE"";",""" ELITE"";","""ЭЛИТНЫЙ"";",""" ELITE"";",,""" ELITE"";"
3,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""sKz-mG-wIg.text""",""" BASIC"";",""" BASIC"";",""" BASIC"";",""" BASIC"";","""БАЗОВЫЙ"";",""" BASIC"";",,""" BASIC"";"
4,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""GF5-Wf-wGA.text""","""1212"";","""1212"";","""1212"";","""1212"";","""1212"";","""1212"";",,"""1212"";"
5,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""bhv-Xe-dKg.text""","""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";","""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";","""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";","""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";","""500 баллов до уровня ЗОЛОТОЙ. Вы заработали 95 000 баллов с 12 октября 2018 года"";","""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";",,"""500 points  to GOLD.You have earned 95,000 points since 12/10/2018"";"
6,SKOR/New Dashboard/Section provider/TierForLuxottica/LuxotticaHorizontalCollectionViewCell.strings,"""lQ5-di-HRj.text""","""     150,000"";","""     150,000"";","""     150,000"";","""     150,000"";","""     150 000"";","""     150,000"";",,"""     150,000"";"
0,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""LBZ-Qu-0Wx.text""","""Special Deals"";","""Ưu đãi đặc biệt"";","""Special Deals"";","""Special Deals"";","""Специальные предложения"""";","""Special Deals"";",,"""Tawaran Istimewa"";"
1,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""XlY-Kz-Ttn.text""","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""Điểm cần có để đổi thưởng"";","""Points required to redeem"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";",,"""Titik diperlukan untuk menebus"";"
2,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""QJx-GX-d8W.normalTitle""","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""Xem tất cả"";","""See All"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings"";",,"""LIHAT SEMUA"";"
0,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsDetail/UserTypeDropDown/ReceiptUserTypeDropDownViewController.strings,"""ff7-Zt-wVG.title""","""Done"";",,,,"""Выполнено"";",,,
1,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsDetail/UserTypeDropDown/ReceiptUserTypeDropDownViewController.strings,"""toJ-Uv-mVT.title""","""CM"";",,,,"""CM"";",,,
0,SKOR/SettingView/SettingViewControllerCerraSG.strings,"""MpZ-3y-nw7.text""","""SETTINGS"";","""CÀI ĐẶT"";","""SETTINGS"";","""การตั้งค่า"";","""НАСТРОЙКИ"";","""SETTINGS"";",,"""Tetapan"";"
1,SKOR/SettingView/SettingViewControllerCerraSG.strings,"""dVG-tW-VoG.normalTitle""","""Send Logs"";","""Gửi Lược sử"";","""Send Logs"";","""ส่ง Logs"";","""Журналы"";","""Send Logs"";",,"""Hantar Logs"";"
2,SKOR/SettingView/SettingViewControllerCerraSG.strings,"""IQa-fY-yMJ.normalTitle""","""LOGOUT"";","""ĐĂNG XUẤT"";","""LOGOUT"";","""ออกจากระบบ"";","""ВЫХОД"";","""LOGOUT"";",,"""Log KEluar"";"
0,SKOR/Receipt/TrendSetter Receipt/EmptyReceiptVIew/NoReceiptsFoundViewController.strings,"""Ik5-4Z-orG.text""","""No Claims Found."";",,,,"""Претензий не найдено."";",,,
0,Strings/ExperianLocalizationFile/Localizable.strings,"""Nakhon phanom""",,"""Nakhon phanom"";",,,"""Накхонпханом"""";",,,
1,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter Customer Id to redeem this Topup.""","""Please enter Customer Id to redeem this Topup."";",,"""Please enter Customer Id to redeem this Topup."";",,"""Введите идентификатор клиента, чтобы получить это вознаграждение."""";","""请输入用户ID兑换点卡充值"";",,"""Please enter Customer Id to redeem this Topup."";"
2,Strings/ExperianLocalizationFile/Localizable.strings,"""Get 80,000 bonus points when you attain this tier""","""Get 80,000 bonus points when you attain this tier"";",,"""Get 80,000 bonus points when you attain this tier"";",,"""Когда Вы достигнете этого уровня, Вы получите 80 000 бонусных баллов"""";","""达到此等级，你将获得80,000点奖励积分"";",,"""Get 80,000 bonus points when you attain this tier"";"
3,Strings/ExperianLocalizationFile/Localizable.strings,"""Delivery fee of""","""Delivery fee of"";",,"""Delivery fee of"";",,"""Комиссия за доставку в размере"""";","""投递费"";",,"""Delivery fee of"";"
4,Strings/ExperianLocalizationFile/Localizable.strings,"""Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work.""","""Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work."";",,"""Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work."";",,"""Программа вознаграждений Astellas Reward Program – система поощрений и учета заслуг, которую разработала Astellas SESA. Цель программы – дать менеджменту компании инструмент учета заслуг и вознаграждений для сотрудников за высокие профессиональные и производственные достижения."""";","""奖赏方案是一个由 Astellas SESA 发展的在线奖励系统，主要是旨在使领导意识并且奖励在日常工作中表现优越和专业的员工们。"";",,"""Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work."";"
5,Strings/ExperianLocalizationFile/Localizable.strings,"""Referral""","""Referral"";",,"""Referral"";",,"""Реферал"""";","""推荐"";",,"""Referral"";"
6,Strings/ExperianLocalizationFile/Localizable.strings,"""You have discounts""","""You have"";",,"""You have"";",,"""You have"";","""目前有"";",,"""You have"";"
7,Strings/ExperianLocalizationFile/Localizable.strings,"""It's your Birthday""","""It's your Birthday"";",,"""It's your Birthday"";",,"""Сегодня у Вас день рождения"""";","""今天是您的生日哦！"";",,"""It's your Birthday"";"
8,Strings/ExperianLocalizationFile/Localizable.strings,"""phichit""",,"""phichit"";",,,"""Пхичит"""";",,,
9,Strings/ExperianLocalizationFile/Localizable.strings,"""Secondary 2 and below""","""Secondary 2 and below"";",,"""Secondary 2 and below"";",,"""Дополнительные баллы уровня 2 и ниже"""";","""中二以下"";",,"""Secondary 2 and below"";"
10,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter something""","""Please enter something"";",,"""Please enter something"";",,"""Необходимо что-то ввести"""";","""请输入"";",,"""Please enter something"";"
11,Strings/ExperianLocalizationFile/Localizable.strings,"""GCE N/O Level""","""GCE N/O Level"";",,"""GCE N/O Level"";",,"""Св-во об общем образовании, уровень N/O"""";","""初中"";",,"""GCE N/O Level"";"
12,Strings/ExperianLocalizationFile/Localizable.strings,"""Mahasarakham""",,"""Mahasarakham"";",,,"""Махасаракхам"""";",,,
13,Strings/ExperianLocalizationFile/Localizable.strings,"""Get in touch""","""Get in touch"";",,"""Get in touch"";",,"""Связаться"""";","""电邮"";",,"""Get in touch"";"
14,Strings/ExperianLocalizationFile/Localizable.strings,"""Chiang mai""",,"""Chiang mai"";",,,"""Чиангмай"""";",,,
15,Strings/ExperianLocalizationFile/Localizable.strings,"""on""","""on"";",,"""on"";",,"""on"";","""在"";",,"""on"";"
16,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter old password""","""Please enter old password"";",,"""Please enter old password"";",,"""Введите старый пароль"""";","""Please enter old password"";",,"""Please enter old password"";"
17,Strings/ExperianLocalizationFile/Localizable.strings,"""Sra kaeo""",,"""Sra kaeo"";",,,"""Сра Каео"""";",,,
18,Strings/ExperianLocalizationFile/Localizable.strings,"""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)""","""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)"";",,"""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)"";",,"""Забирайте вознаграждения(-е) в 1 рабочий день каждого месяца (обмен с 9 по 23 число предыдущего месяца) ЛИБО 15 числа месяца (обмен с 24 числа предыдущего месяца по 8 число текущего)"""";","""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)"";",,"""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)"";"
19,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter Address 2""","""Please enter Address 2"";",,"""Please enter Address 2"";",,"""Введите Адрес 2"""";","""请输入地址 2"";",,"""Please enter Address 2"";"
20,Strings/ExperianLocalizationFile/Localizable.strings,"""ACECCE""","""ACECCE"";","""ACECCE"";","""ACECCE"";",,"""Колледж ACECCE"""";","""ACECCE"";",,"""ACECCE"";"
21,Strings/ExperianLocalizationFile/Localizable.strings,"""Image must be less then 20MB.""","""Image must be less then 20MB."";",,"""Image must be less then 20MB."";",,"""Изображение должно занимать менее 20 Мб."""";","""图像大小必须小于20mb。"";",,"""Image must be less then 20MB."";"
22,Strings/ExperianLocalizationFile/Localizable.strings,"""Colleague's Birthday today""","""Colleague's Birthday today"";",,"""Colleague's Birthday today"";",,"""Сегодня день рождения Вашего коллеги"""";","""今天是您同事的生日"";",,"""Colleague's Birthday today"";"
23,Strings/ExperianLocalizationFile/Localizable.strings,"""Phatthalung""",,"""Phatthalung"";",,,"""Пхаттхалунг"""";",,,
24,Strings/ExperianLocalizationFile/Localizable.strings,"""MAY""","""MAY"";",,"""MAY"";",,"""МАЙ"""";","""5月"";",,"""MAY"";"
25,Strings/ExperianLocalizationFile/Localizable.strings,"""Trang""",,"""Trang"";",,,"""Транг"""";",,,
26,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter new password""","""Please enter new password"";",,"""Please enter new password"";",,"""Введите новый пароль"""";","""请输入新密码"";",,"""Please enter new password"";"
27,Strings/ExperianLocalizationFile/Localizable.strings,"""Submited succesfully""","""Submited succesfully"";",,"""Submited succesfully"";",,"""Отправлено успешно"""";","""提交成功"";",,"""Submited succesfully"";"
28,Strings/ExperianLocalizationFile/Localizable.strings,"""APRIL""","""APRIL"";",,"""APRIL"";",,"""АПРЕЛЬ"""";","""4月"";",,"""APRIL"";"
29,Strings/ExperianLocalizationFile/Localizable.strings,"""Tak""",,"""Tak"";",,,"""Так"""";",,,
30,Strings/ExperianLocalizationFile/Localizable.strings,"""Valid till""",,,,,"""ДЕЙСТВИТЕЛЬНО ДО"""";","""有效期至"";",,
31,Strings/ExperianLocalizationFile/Localizable.strings,"""Attendance Confirmed.""","""Attendance Confirmed."";",,"""Attendance Confirmed."";",,"""Участие подтверждено."""";","""确认出席"";",,"""Attendance Confirmed."";"
32,Strings/ExperianLocalizationFile/Localizable.strings,"""Reset instructions have been sent to your email address""","""Reset instructions have been sent to your email address"";",,"""Reset instructions have been sent to your email address"";",,"""Инструкции по сбросу отправлены на Ваш адрес эл. почты"""";","""重置说明已发送到您的电邮"";",,"""Reset instructions have been sent to your email address"";"
33,Strings/ExperianLocalizationFile/Localizable.strings,"""Nongkhai""",,"""Nongkhai"";",,,"""Нонгкхай"""";",,,
34,Strings/ExperianLocalizationFile/Localizable.strings,"""INDIVIDUAL""","""INDIVIDUAL"";",,"""INDIVIDUAL"";",,"""ПЕРСОНАЛЬНОЕ"""";","""个人"";",,"""INDIVIDUAL"";"
35,Strings/ExperianLocalizationFile/Localizable.strings,"""Unknown Response.""","""Unknown Response."";",,"""Unknown Response."";",,"""Неизвестный отклик."""";","""不名反应"";",,"""Unknown Response."";"
36,Strings/ExperianLocalizationFile/Localizable.strings,"""DRAFT""","""DRAFT"";",,"""DRAFT"";",,"""ЧЕРНОВИК"""";",""" 草案 "";",,"""DRAFT"";"
37,Strings/ExperianLocalizationFile/Localizable.strings,"""Qr-code for redemption""","""Qr-code for redemption"";",,"""Qr-code for redemption"";",,"""QR-код для погашения"""";","""Qr-code for redemption"";",,"""Qr-code for redemption"";"
38,Strings/ExperianLocalizationFile/Localizable.strings,"""Version""","""Version"";",,"""Version"";",,"""Версия"""";","""版本"";",,"""Version"";"
39,Strings/ExperianLocalizationFile/Localizable.strings,"""Unable to fetch""","""Unable to fetch"";",,"""Unable to fetch"";",,"""Не удается получить"""";","""无法提取应用程序接口"";",,"""Unable to fetch"";"
40,Strings/ExperianLocalizationFile/Localizable.strings,"""Not Applicable""","""Not Applicable"";",,"""Not Applicable"";",,"""Не применимо"""";","""不适用"";",,"""Not Applicable"";"
41,Strings/ExperianLocalizationFile/Localizable.strings,"""Infant Care Teacher""","""Infant Care Teacher"";",,"""Infant Care Teacher"";",,"""Учитель по работе с детьми раннего возраста"""";","""婴幼儿老师"";",,"""Infant Care Teacher"";"
42,Strings/ExperianLocalizationFile/Localizable.strings,"""3 REFERRALS""","""3 REFERRALS"";",,"""3 REFERRALS"";",,"""3 РЕФЕРАЛА"""";","""银奖"";",,"""3 REFERRALS"";"
43,Strings/ExperianLocalizationFile/Localizable.strings,"""1 day ago""","""1 day ago"";",,"""1 day ago"";",,"""1 день назад"""";","""一天前"";",,"""1 day ago"";"
44,Strings/ExperianLocalizationFile/Localizable.strings,"""should not be empty""","""should not be empty"";",,"""should not be empty"";",,"""не должно быть пустым"""";","""此处不应为空格"";",,"""should not be empty"";"
45,Strings/ExperianLocalizationFile/Localizable.strings,"""Please select province""",,"""Please select province"";",,,"""Выберите провинцию"""";",,,
46,Strings/ExperianLocalizationFile/Localizable.strings,"""Redemption code""","""Redemption code"";",,"""Redemption code"";",,"""Код обмена"""";","""兑换码"";",,"""Redemption code"";"
47,Strings/ExperianLocalizationFile/Localizable.strings,"""Foreigner requiring Work Pass""","""Foreigner requiring Work Pass"";",,"""Foreigner requiring Work Pass"";",,"""Иностранный гражданин, которому необходимо разрешение на работу"""";","""需要申请工作准证"";",,"""Foreigner requiring Work Pass"";"
48,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter Currently Pursuing""","""Please enter Currently Pursuing"";",,"""Please enter Currently Pursuing"";",,"""Введите текущую ступень обучения"""";","""请输入目前正在攻读的学位"";",,"""Please enter Currently Pursuing"";"
49,Strings/ExperianLocalizationFile/Localizable.strings,"""Image must be less then 6MB.""","""Image must be less then 6MB."";",,"""Image must be less then 6MB."";",,"""Изображение должно занимать менее 6 Мб."""";","""图像大小必须小于6mb。"";",,"""Image must be less then 6MB."";"
50,Strings/ExperianLocalizationFile/Localizable.strings,"""Sucess""","""Success"";",,"""Sucess"";",,"""Успешно"""";","""成功"";",,"""Sucess"";"
51,Strings/ExperianLocalizationFile/Localizable.strings,"""Last Name""","""Last Name"";",,"""Last Name"";",,"""Фамилия"""";","""姓氏"";",,"""Last Name"";"
52,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter pln number to redeem this Topup.""","""Please enter pln number to redeem this Topup."";",,"""Please enter pln number to redeem this Topup."";",,"""Пожалуйста, введите пин-код, чтобы получить это вознаграждение."""";","""请输入PIN码兑换点卡充值"";",,"""Please enter pln number to redeem this Topup."";"
53,Strings/ExperianLocalizationFile/Localizable.strings,"""VN PostFix It was your""",""""";",,,,""""";",""""";",,
54,Strings/ExperianLocalizationFile/Localizable.strings,"""ANNOUNCEMENTS""","""ANNOUNCEMENTS"";",,"""ANNOUNCEMENTS"";",,"""АНОНСЫ"""";","""公告"";",,"""ANNOUNCEMENTS"";"
55,Strings/ExperianLocalizationFile/Localizable.strings,"""Get organized""","""Get organized"";",,"""Get organized"";",,"""Упорядочить дела"""";","""组织起来"";",,"""Get organized"";"
56,Strings/ExperianLocalizationFile/Localizable.strings,"""Camera""","""Camera"";",,"""Camera"";",,"""Фотокамера"""";","""相机"";",,"""Camera"";"
57,Strings/ExperianLocalizationFile/Localizable.strings,"""You want to redeem this""","""You want to redeem this"";",,"""You want to redeem this"";",,"""Вы собираетесь обменять"""";","""You want to redeem this"";",,"""You want to redeem this"";"
58,Strings/ExperianLocalizationFile/Localizable.strings,"""Top 10 Participants""","""Top 10 Participants"";",,"""Top 10 Participants"";",,"""Топ 10 участников"""";","""前10名"";",,"""Top 10 Participants"";"
59,Strings/ExperianLocalizationFile/Localizable.strings,"""Pathum thani""",,"""Pathum thani"";",,,"""Патхумтхани"""";",,,
60,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter OTP""","""Please enter OTP"";",,"""Please enter OTP"";",,"""Введите одноразовый пароль"""";","""请输入验证码"";",,"""Please enter OTP"";"
61,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter mobile number correctly""","""Please enter mobile number correctly"";",,"""Please enter mobile number correctly"";",,"""Пожалуйста, введите номер мобильного телефона без ошибок"""";","""请输入正确的手机号码"";",,"""Please enter mobile number correctly"";"
62,Strings/ExperianLocalizationFile/Localizable.strings,"""How you would like to setup profile image?""","""How you would like to setup profile image?"";",,"""How you would like to setup profile image?"";",,"""Вы хотите установить фотографию для профиля?"";","""您希望如何设置您的配置文件映像呢？"";",,"""How you would like to setup profile image?"";"
63,Strings/ExperianLocalizationFile/Localizable.strings,"""Server Error""","""Server Error"";",,"""Server Error"";",,"""Ошибка на сервере"""";","""服务器错误"";",,"""Server Error"";"
64,Strings/ExperianLocalizationFile/Localizable.strings,"""by""","""by"";",,"""by"";",,"""от"""";","""由"";",,"""by"";"
65,Strings/ExperianLocalizationFile/Localizable.strings,"""Group Name""","""Group Name"";",,"""Group Name"";",,"""Название группы"""";","""组名"";",,"""Group Name"";"
66,Strings/ExperianLocalizationFile/Localizable.strings,"""OK""","""OK"";",,"""OK"";",,"""Oк"""";","""还行"";",,"""OK"";"
67,Strings/ExperianLocalizationFile/Localizable.strings,"""TUE""","""TUE"";",,"""TUE"";",,"""ВТ"""";","""二"";",,"""TUE"";"
68,Strings/ExperianLocalizationFile/Localizable.strings,"""Prachuap khiri khan""",,"""Prachuap khiri khan"";",,,"""Прачуапкхирикхан"""";",,,
69,Strings/ExperianLocalizationFile/Localizable.strings,"""seconds ago""","""seconds ago"";",,"""seconds ago"";",,"""секунд назад"""";","""几秒前"";",,"""seconds ago"";"
70,Strings/ExperianLocalizationFile/Localizable.strings,"""Available Points for Redemption""","""Available Points for Redemption"";",,"""Available Points for Redemption"";",,"""Баллы доступные для погашения"""";","""Available Points for Redemption"";",,"""Available Points for Redemption"";"
71,Strings/ExperianLocalizationFile/Localizable.strings,"""MAR""","""MAR"";",,"""MAR"";",,"""МАРТ"""";","""3月"";",,"""MAR"";"
72,Strings/ExperianLocalizationFile/Localizable.strings,"""Some fields are empty.""","""Some fields are empty."";",,"""Some fields are empty."";",,"""Некоторые поля пустые."""";","""哎呀，有些字段没填写完哦！"";",,"""Some fields are empty."";"
73,Strings/ExperianLocalizationFile/Localizable.strings,"""Nongbualamphu""",,"""Nongbualamphu"";",,,"""Нонгбуалампху"""";",,,
74,Strings/ExperianLocalizationFile/Localizable.strings,"""COMMUNITY""","""COMMUNITY"";",,"""COMMUNITY"";",,"""СООБЩЕСТВО"""";","""社区"";",,"""COMMUNITY"";"
75,Strings/ExperianLocalizationFile/Localizable.strings,"""Invalid OTP, Please retry""","""Invalid OTP, Please retry"";",,"""Invalid OTP, Please retry"";",,"""Одноразовый пароль неверный. Повторите попытку"""";","""验证码无效，请重试。"";",,"""Invalid OTP, Please retry"";"
76,Strings/ExperianLocalizationFile/Localizable.strings,"""ALL""","""ALL"";",,"""ALL"";",,"""ВСЕ"""";","""全部"";",,"""ALL"";"
77,Strings/ExperianLocalizationFile/Localizable.strings,"""Brand""","""Brand"";",,"""Brand"";",,"""Бренд"""";","""品牌"";",,"""Brand"";"
78,Strings/ExperianLocalizationFile/Localizable.strings,"""Unable to decode JSON""","""Unable to decode JSON"";",,"""Unable to decode JSON"";",,"""Не удается прочесть JSON-файл"""";","""无法解码JSON"";",,"""Unable to decode JSON"";"
79,Strings/ExperianLocalizationFile/Localizable.strings,"""Buri ram""",,"""Buri ram"";",,,"""Бурирам"""";",,,
80,Strings/ExperianLocalizationFile/Localizable.strings,"""No result found.""","""No result found."";",,"""No result found."";",,"""Результатов не найдено."""";","""没有结果可显示"";",,"""No result found."";"
81,Strings/ExperianLocalizationFile/Localizable.strings,"""Loei""",,"""Loei"";",,,"""Лей"""";",,,
82,Strings/ExperianLocalizationFile/Localizable.strings,"""History""","""History"";",,"""History"";",,"""История"""";","""历史"";",,"""History"";"
83,Strings/ExperianLocalizationFile/Localizable.strings,"""Khon kean""",,"""Khon kean"";",,,"""Кхонкэн"""";",,,
84,Strings/ExperianLocalizationFile/Localizable.strings,"""Enter valid mobile number.""","""Enter valid mobile number."";",,"""Enter valid mobile number."";",,"""Введите номер мобильного телефона."""";","""请输入正确的电话号码"";",,"""Enter valid mobile number."";"
85,Strings/ExperianLocalizationFile/Localizable.strings,"""Surat thani""",,"""Surat thani"";",,,"""Сураттхани"""";",,,
86,Strings/ExperianLocalizationFile/Localizable.strings,"""people joining""","""people joining"";",,"""people joining"";",,"""человек присоединяются"""";","""朋友们加入中"";",,"""people joining"";"
87,Strings/ExperianLocalizationFile/Localizable.strings,"""Please enter your academic qualification""","""Please enter your academic qualification"";",,"""Please enter your academic qualification"";",,"""Введите максимальный достигнутый уровень образования"""";","""请输入最高学历"";",,"""Please enter your academic qualification"";"
88,Strings/ExperianLocalizationFile/Localizable.strings,"""UAE""","""UAE"";",,"""UAE"";",,"""ОАЭ"""";","""阿拉伯联合酋长国"";",,"""UAE"";"
89,Strings/ExperianLocalizationFile/Localizable.strings,"""We've encountered a technical error. Our team is working on it. Please try again later.""","""We've encountered a technical error. Our team is working on it. Please try again later."";",,"""We've encountered a technical error. Our team is working on it. Please try again later."";",,"""Произошла техническая ошибка. Наша команда поддержки уже занимается этим вопросом. Пожалуйста, попробуйте позднее."""";","""抱歉，出现临时故障了。正在修复中，请稍后再试！"";",,"""We've encountered a technical error. Our team is working on it. Please try again later."";"
90,Strings/ExperianLocalizationFile/Localizable.strings,"""SUN""","""SUN"";",,"""SUN"";",,"""ВС"""";","""日"";",,"""SUN"";"
91,Strings/ExperianLocalizationFile/Localizable.strings,"""FEATURED REWARDS""","""FEATURED REWARDS"";",,"""FEATURED REWARDS"";",,"""НОВЫЕ ВОЗНАГРАЖДЕНИЯ"""";","""精选奖励"";",,"""FEATURED REWARDS"";"
92,Strings/ExperianLocalizationFile/Localizable.strings,"""Cancel""","""Cancel"";",,"""Cancel"";",,"""Отмена"""";","""取消"";",,"""Cancel"";"
